,f1,f2,f3,f4
0,4.6,3.4,1.4,0.3
1,5.4,3.7,1.5,0.2
2,5.7,3.8,1.7,0.3
3,5.1,3.8,1.5,0.3
4,4.9,3.1,1.5,0.1
5,4.9,3.1,6.876657858,0.1
6,4.4,3,1.3,2.333837305
7,5.1,3.8,1.6,0.2
8,5.7,2.8,4.5,1.3
9,5.2,2.7,3.9,1.4
10,5,2,3.5,1
11,5.9,3,4.2,1.5
12,7.142159543,2.4,3.8,0.913589399
13,5.6,4.34878914,4.1,1.3
14,5.5,2.5,4,0.680352745
15,5.1,2.363455913,3,1.1
16,6.213668102,2.8,6.182621692,1.3
17,6.3,2.9,5.6,1.8
18,7.2,3.6,6.1,2.5
19,5.7,2.5,5,2
20,7.2,3,5.8,1.6
21,7.4,2.8,6.1,1.9
22,7.9,3.8,6.4,2
23,5.8,2.912236244,5.1,1.9
24,6.7,3,5.2,2.3
25,4.642756654,2.5,5,1.9
26,4.9,3.1,4.015681348,0.1
27,5,3.5,1.6,0.6
28,6.5,2.8,4.6,1.5
29,7.7,2.6,6.9,2.3
30,5,3.4,1.5,0.2
31,4.8,3,1.4,0.1
32,5.1,3.7,1.5,0.4
33,4.8,3.656676256,1.6,0.2
34,5.5,2.742419752,1.4,0.2
35,5.1,3.4,1.5,0.2
36,4.8,3,1.4,0.3
37,4.6,3.2,1.4,0.2
38,7.154022822,3.7,1.5,0.2
39,5.5,2.3,4,1.3
40,6.3,3.3,6.427265942,1.6
41,4.9,2.4,3.3,1
42,6,2.2,4,1
43,6.1,2.8,4,1.3
44,6.1,2.8,4.7,1.2
45,6.4,2.9,4.3,1.3
46,5.7,2.6,3.5,1
47,5.5,2.4,3.7,1
48,4.97644829,3.1,4.7,1.5
49,6.5,3,3.110287784,1.649504995
50,7.3,2.9,6.3,1.8
51,6.5,3.2,5.1,1.198891722
52,6.7,3.3,5.7,2.1
53,4.886560743,3.2,6,1.8
54,6.3,2.8,5.1,1.5
55,6.5,3,5.2,2
56,6.2,3.4,5.4,1.254025508
57,5.9,4.137635077,3.895789527,1.8
58,4.7,3.2,1.3,0.2
59,6.9,3.2,5.7,2.3
60,5.1,3.5,1.4,0.2
61,4.6,3.1,1.5,1.258358172
62,4.4,2.9,1.4,0.2
63,5.4,3.4,1.7,0.2
64,4.6,3.6,1,0.2
65,5,3.4,1.6,0.4
66,4.7,3.2,1.6,0.2
67,5.4,3.4,1.5,0.4
68,5,3.3,1.4,0.2
69,5.94210208,3.2,4.7,1.4
70,6.4,3.2,4.5,1.5
71,5.6,3,4.5,1.5
72,6.3,2.5,4.9,1.5
73,6.6,3,4.4,1.4
74,6.655913631,2.3,4.4,1.3
75,5.5,2.6,4.4,1.2
76,5,2.3,3.3,1
77,7.1,2.136436916,5.9,2.1
78,6.8,3,5.5,2.1
79,5.8,2.8,5.1,2.4
80,6.3,2.7,4.9,1.8
81,6.1,3,4.419939232,1.8
82,6.4,2.8,5.6,2.1
83,6.916094961,2.8,5.6,2.035922499
84,7.7,3,6.1,1.817758091
85,6.4,3.111639232,5.5,1.8
86,6,3.79275492,4.8,1.8
87,5.8,4,1.2,0.2
88,6.6,2.9,4.917134289,1.3
89,6.8,2.8,2.21965793,1.4
90,4.9,3,1.4,0.2
91,5.4,3.9,1.7,0.4
92,4.3,3,1.1,0.1
93,5.7,4.4,1.5,0.4
94,5.1,3.3,1.7,0.5
95,5,3,1.6,0.2
96,5.2,4.1,1.5,0.1
97,7.66443933,3.2,1.2,0.2
98,5.5,3.5,1.3,0.2
99,5,3.5,1.3,0.3
100,6.9,4.367701472,4.9,1.5
101,5.8,2.7,4.1,1
102,6.2,2.2,4.5,1.5
103,6.7,3,5,1.7
104,5.8,4.235735308,3.9,1.2
105,6,2.7,5.1,1.6
106,5.77933928,2.7,1.223223216,1.3
107,5.7,2.9,4.2,1.3
108,6.3,3.3,6,1.897556723
109,5.8,3.102360143,5.1,1.9
110,6.4,2.7,5.3,2.239112315
111,6.4,3.2,5.3,2.3
112,7.7,3.8,6.7,2.2
113,5.6,2.8,3.090615293,2
114,6.1,2.6,2.952799834,1.4
115,6.9,3.1,5.1,2.3
116,6,2.9,4.5,1.5
117,6,3.4,4.5,1.6
118,6.5,3,5.5,2.471978511
119,5.076894152,2.8,4.8,1.8
120,5,3.6,1.4,0.2
121,4.8,3.4,1.922103706,0.2
122,5.4,3.458789911,1.3,0.4
123,5.1,3.5,1.4,0.3
124,4.8,3.4,1.9,0.2
125,5.2,3.5,1.5,0.2
126,5.2,3.4,6.865982349,0.2
127,4.5,2.3,1.3,0.3
128,5.1,3.8,1.9,0.4
129,6.1,2.01178536,4.7,2.087037127
130,5.6,2.9,3.6,1.3
131,6.925048563,3.1,4.4,1.4
132,5.6,2.5,3.9,1.1
133,5.9,3.2,4.8,1.8
134,5.4,3,4.5,1.5
135,6.1,2.541449771,4.6,1.4
136,5.8,2.6,4,1.2
137,5.7,3,2.875111775,1.2
138,6.2,2.9,4.3,1.442514106
139,7.6,3,6.6,2.1
140,4.9,2.5,4.5,1.7
141,6.7,2.5,5.8,1.8
142,7.7,2.8,6.7,2
143,6.3,3.4,5.6,2.4
144,6.9,3.1,5.4,2.1
145,6.7,3.1,5.6,2.4
146,6.8,3.2,5.9,0.894690214
147,4.658761372,3.3,5.7,2.5
148,4.4,3.2,1.3,0.2
149,5.675089585,2.2,5,1.5
