,f1,f2,f3,f4
0,5,3.4,1.5,0.2
1,5.148910104,3,1.4,0.578345346
2,5.1,3.7,1.5,0.4
3,4.8,3.1,4.882894053,0.2
4,5.5,4.2,2.945790905,1.686955177
5,4.670607255,3.4,4.279395693,0.2
6,4.8,3,1.4,0.3
7,4.6,3.2,1.4,0.186652831
8,5.3,3.7,1.5,0.2
9,5.5,2.3,4,1.3
10,6.3,2.973604717,4.7,1.6
11,4.9,2.4,3.3,1
12,6,2.2,4,1
13,6.1,2.8,4,1.3
14,6.1,2.8,4.7,1.092558944
15,6.4,3.237405159,4.3,1.3
16,5.7,2.6,3.5,1
17,5.5,2.4,3.7,2.434077359
18,6.7,3.1,4.7,1.5
19,6.920662795,3,5.8,2.2
20,7.3,2.9,6.3,1.8
21,6.5,3.2,5.1,2
22,6.7,3.3,5.153549961,2.1
23,7.2,3.2,6,1.8
24,6.3,4.315214076,5.1,1.5
25,6.5,4.000842698,5.2,2
26,7.195153191,3.4,4.163444699,2.3
27,5.9,3,5.1,1.8
28,6.031258407,3.2,1.3,0.2
29,6.9,3.2,5.7,2.3
30,5.1,2.165293158,1.4,0.2
31,4.6,3.1,1.5,0.2
32,4.569077056,2.9,3.385503636,0.2
33,5.4,3.4,1.7,0.2
34,4.6,3.6,1,0.2
35,5,3.4,1.6,0.4
36,4.7,3.2,1.6,0.2
37,5.4,3.4,1.5,0.4
38,5,3.3,6.802860049,0.2
39,7,3.2,4.955180737,1.4
40,6.4,3.2,4.5,1.5
41,5.6,3,4.5,1.5
42,6.3,2.5,4.9,1.5
43,6.182673905,3,4.4,1.4
44,6.3,2.3,4.4,0.653751372
45,5.5,2.6,6.899234038,1.2
46,5,3.39898075,3.3,1
47,7.1,3,5.9,2.1
48,6.8,3,5.5,2.1
49,5.8,2.8,5.1,2.4
50,6.3,2.7,4.9,1.8
51,6.1,3,4.9,1.8
52,6.4,2.8,5.6,2.1
53,6.4,3.567415839,5.6,2.2
54,7.7,3,6.1,2.3
55,6.4,3.1,3.675890572,1.8
56,6,3,4.8,1.8
57,5.8,2.808378648,1.2,0.2
58,6.6,2.9,4.938870585,1.3
59,6.8,2.168024376,4.8,1.4
60,7.387596325,3,1.16277063,0.2
61,5.4,3.9,1.7,0.4
62,4.3,3,1.1,0.1
63,5.7,4.4,1.5,0.4
64,5.1,3.3,1.7,0.5
65,5,3,1.6,0.2
66,5.2,4.214571619,1.729485898,0.1
67,5,3.2,1.2,0.2
68,5.5,3.5,1.3,0.2
69,5,3.5,1.3,0.3
70,6.9,3.1,4.9,1.5
71,5.8,2.7,4.1,1
72,6.2,2.2,4.5,1.5
73,5.951537342,3,5.877440848,1.974161303
74,5.8,2.7,3.9,1.2
75,6,2.7,5.1,0.716739158
76,5.6,2.7,1.772946058,1.3
77,5.7,2.9,4.2,1.939873225
78,4.471507088,3.3,6,2.5
79,5.8,2.7,5.1,1.9
80,6.4,2.7,5.3,0.564733772
81,6.4,3.2,5.3,0.179243393
82,7.7,3.8,6.7,2.2
83,5.021346431,2.8,4.9,2
84,6.1,2.6,5.6,1.4
85,6.9,3.1,3.48643034,2.378389571
86,6,2.9,4.5,1.87127611
87,6,3.4,4.5,1.6
88,4.733015044,3,5.5,1.8
89,6.2,2.8,4.8,1.8
90,5,3.6,1.4,0.2
91,4.8,3.4,6.333282007,0.2
92,5.4,3.9,1.3,0.601973805
93,5.1,3.5,1.4,0.3
94,4.420632857,3.4,1.9,0.309004387
95,5.2,3.5,1.5,0.2
96,5.2,4.224380062,1.4,0.487719766
97,4.5,3.143840167,1.3,1.030666394
98,5.1,3.8,1.9,0.4
99,6.1,2.9,4.7,1.4
100,5.6,2.9,3.6,1.3
101,6.7,4.198730385,4.4,1.757975584
102,5.6,2.5,3.9,1.1
103,5.9,3.2,4.8,1.8
104,5.4,2.743170193,4.5,1.5
105,6.1,2.753490578,4.6,1.4
106,5.8,2.6,4,1.2
107,6.856121558,3,4.2,1.2
108,6.2,2.9,4.3,1.3
109,7.6,3,6.6,2.1
110,7.583886366,2.315336263,4.5,1.7
111,6.7,2.5,5.8,1.8
112,4.583052253,2.8,6.7,2
113,6.3,3.4,5.6,2.4
114,6.9,3.1,5.4,2.1
115,7.570227424,3.1,5.6,2.4
116,6.8,3.2,5.9,2.3
117,6.7,4.102713642,5.7,2.5
118,7.092419487,3.2,1.3,0.2
119,6,2.2,5,1.5
120,4.6,3.4,1.4,0.3
121,5.4,3.228844038,1.5,0.2
122,5.7,3.8,6.857099036,1.734939685
123,5.1,3.8,1.5,0.3
124,4.9,3.1,1.5,0.1
125,6.752913694,3.1,1.5,0.1
126,4.99667598,3,4.655269451,2.094026194
127,5.1,3.8,1.6,0.534392057
128,5.7,2.170296353,4.5,1.3
129,5.2,2.7,3.9,1.4
130,5,2,2.378933276,1
131,5.9,3,4.2,1.5
132,5.5,2.4,1.784510274,1.1
133,5.6,3,5.864684008,1.3
134,5.5,2.5,4,0.996076992
135,6.588809464,2.5,3,1.1
136,5.7,2.8,4.1,1.3
137,6.038191807,2.9,5.6,1.8
138,7.2,2.782813755,6.1,2.5
139,5.7,2.5,5,2
140,7.2,3,5.8,1.6
141,7.4,3.381531276,6.1,1.9
142,7.9,4.370234626,6.4,1.321461364
143,5.8,2.7,5.1,1.9
144,6.7,3.124133565,5.2,2.3
145,5.160459579,2.5,5,1.9
146,4.9,3.1,1.5,0.1
147,5,3.5,1.6,0.6
148,6.5,2.8,4.6,1.5
149,7.7,2.6,4.158800141,2.3
